"marker","chr","pos"
"m1","chr1","33117"
"m2","chr1","58570"
"m3","chr1","61566"
"m4","chr1","65199"
"m5","chr1","65397"
"m6","chr1","65418"
"m7","chr1","65655"
"m8","chr1","65764"
"m9","chr1","65782"
"m10","chr1","65842"
"m11","chr1","65889"
"m12","chr1","66047"
"m13","chr1","66064"
"m14","chr1","66096"
"m15","chr1","66272"
"m16","chr1","66345"
"m17","chr1","66527"
"m18","chr1","66688"
"m19","chr1","67297"
"m20","chr1","67502"
"m21","chr1","67593"
"m22","chr1","67844"
"m23","chr1","67901"
"m24","chr1","68125"
"m25","chr1","68135"
"m26","chr1","68179"
"m27","chr1","68223"
"m28","chr1","68231"
"m29","chr1","68240"
"m30","chr1","68366"
"m31","chr1","68403"
"m32","chr1","77647"
"m33","chr1","78085"
"m34","chr1","78956"
"m35","chr1","80316"
"m36","chr1","87254"
"m37","chr1","96340"
"m38","chr1","96677"
"m39","chr1","96795"
"m40","chr1","96932"
"m41","chr1","97768"
"m42","chr1","98117"
"m43","chr1","99064"
"m44","chr1","99247"
"m45","chr1","99360"
"m46","chr1","100853"
"m47","chr1","102562"
"m48","chr1","102937"
"m49","chr1","103151"
"m50","chr1","103502"
"m51","chr1","104615"
"m52","chr1","105950"
"m53","chr1","107469"
"m54","chr1","117191"
"m55","chr1","117499"
"m56","chr1","117537"
"m57","chr1","117666"
"m58","chr1","117732"
"m59","chr1","118045"
"m60","chr1","118333"
"m61","chr1","118925"
"m62","chr1","119194"
"m63","chr1","119199"
"m64","chr1","119396"
"m65","chr1","119424"
"m66","chr1","122392"
"m67","chr1","123125"
"m68","chr1","123337"
"m69","chr1","123486"
"m70","chr1","123621"
"m71","chr1","128431"
"m72","chr1","130766"
"m73","chr1","131896"
"m74","chr1","132865"
"m75","chr1","132873"
"m76","chr1","132898"
"m77","chr1","139886"
"m78","chr1","141205"
"m79","chr1","141416"
"m80","chr1","141538"
"m81","chr1","142083"
"m82","chr1","143676"
"m83","chr1","144633"
"m84","chr1","144642"
"m85","chr1","145183"
"m86","chr1","146401"
"m87","chr1","146409"
"m88","chr1","146616"
"m89","chr1","149474"
"m90","chr1","151468"
"m91","chr1","155157"
"m92","chr1","166029"
"m93","chr1","166794"
"m94","chr1","169873"
"m95","chr1","175917"
"m96","chr1","183135"
"m97","chr1","186948"
"m98","chr1","189083"
"m99","chr1","193687"
"m100","chr1","197094"
"m101","chr1","197744"
"m102","chr1","199693"
"m103","chr1","202923"
"m104","chr1","209030"
"m105","chr1","209092"
"m106","chr1","209469"
"m107","chr1","209485"
"m108","chr1","209593"
"m109","chr1","216607"
"m110","chr1","217153"
"m111","chr1","217533"
"m112","chr1","218607"
"m113","chr1","230105"
"m114","chr1","230108"
"m115","chr1","236493"
"m116","chr1","249503"
"m117","chr1","257833"
"m118","chr1","257842"
"m119","chr1","262506"
"m120","chr1","262850"
"m121","chr1","263035"
"m122","chr1","349085"
"m123","chr1","375552"
"m124","chr1","400134"
"m125","chr1","452976"
"m126","chr1","471256"
"m127","chr1","473240"
"m128","chr1","480760"
"m129","chr1","481272"
"m130","chr1","483553"
"m131","chr1","484670"
"m132","chr1","484729"
"m133","chr1","484907"
"m134","chr1","486078"
